 Wtype Chip HalfROC Channel ROCpin Cell TrLink TrCell iu iv trace t
 H 4 0 27 26 192 0 1 10 21 0.00 1
 H 4 0 28 27 169 0 3 9 19 0.00 1
 H 4 0 29 28 190 0 3 10 19 0.00 1
 H 4 0 30 29 214 0 3 11 20 0.00 1
 H 4 0 31 30 191 0 3 10 20 0.00 1
 H 4 0 32 31 168 0 3 9 18 0.00 1
 H 4 0 33 32 147 0 3 8 19 0.00 1
 H 4 0 34 33 146 0 3 8 18 0.00 1
 H 4 0 35 34 170 0 3 9 20 0.00 1
 H 4 0 36 35 127 0 3 7 18 0.00 1
 H 4 1 0 36 188 2 0 10 17 0.00 1
 H 4 1 1 37 187 2 0 10 16 0.00 1
 H 4 1 2 38 211 2 0 11 17 0.00 1
 H 4 1 3 39 167 2 0 9 17 0.00 1
 H 4 1 4 40 166 2 0 9 16 0.00 1
 H 4 1 5 41 144 2 0 8 16 0.00 1
 H 4 1 6 42 143 2 0 8 15 0.00 1
 H 4 1 7 43 124 2 0 7 15 0.00 1
 H 4 1 8 44 165 2 0 9 15 0.00 1
 H 4 1 9 45 104 2 2 6 13 0.00 1
 H 4 1 10 46 142 2 2 8 14 0.00 1
 H 4 1 11 47 123 2 2 7 14 0.00 1
 H 4 1 12 48 122 2 2 7 13 0.00 1
 H 4 1 13 49 105 2 2 6 14 0.00 1
 H 4 1 14 50 103 2 2 6 12 0.00 1
 H 4 1 15 51 85 2 2 5 12 0.00 1
 H 4 1 16 52 86 2 2 5 13 0.00 1
 H 4 1 17 53 69 2 2 4 12 0.00 1
 H 4 1 18 CALIB1 88 -1 -1 5 14 0.00 0
 H 4 1 19 54 54 2 1 3 12 0.00 1
 H 4 1 20 55 41 2 1 2 13 0.00 1
 H 4 1 21 56 25 2 1 1 12 0.00 1
 H 4 1 22 57 40 2 1 2 12 0.00 1
 H 4 1 23 58 70 2 1 4 13 0.00 1
 H 4 1 24 59 55 2 1 3 13 0.00 1
 H 4 1 25 60 87 2 1 5 14 0.00 1
 H 4 1 26 61 71 2 1 4 14 0.00 1
 H 4 1 27 62 56 2 1 3 14 0.00 1
 H 4 1 28 63 145 2 3 8 17 0.00 1
 H 4 1 29 64 106 2 3 6 15 0.00 1
 H 4 1 30 65 125 2 3 7 16 0.00 1
 H 4 1 31 66 107 2 3 6 16 0.00 1
 H 4 1 32 67 126 2 3 7 17 0.00 1
 H 4 1 33 68 90 2 3 5 16 0.00 1
 H 4 1 34 69 108 2 3 6 17 0.00 1
 H 4 1 35 70 89 2 3 5 15 0.00 1
 H 4 1 36 71 72 2 3 4 15 0.00 1
 H 5 0 0 0 256 0 0 13 16 0.00 1
 H 5 0 1 1 232 0 0 12 15 0.00 1
 H 5 0 2 2 281 0 0 14 17 0.00 1
 H 5 0 3 3 257 0 0 13 17 0.00 1
 H 5 0 4 4 233 0 0 12 16 0.00 1
 H 5 0 5 5 209 0 0 11 15 0.00 1
 H 5 0 6 6 186 0 0 10 15 0.00 1
 H 5 0 7 7 234 0 0 12 17 0.00 1
 H 5 0 8 8 210 0 0 11 16 0.00 1
 H 5 0 9 9 141 0 2 8 13 0.00 1
 H 5 0 10 10 185 0 2 10 14 0.00 1
 H 5 0 11 11 164 0 2 9 14 0.00 1
 H 5 0 12 12 121 0 2 7 12 0.00 1
 H 5 0 13 13 207 0 2 11 14 0.00 1
 H 5 0 14 14 163 0 2 9 13 0.00 1
 H 5 0 15 15 140 0 2 8 12 0.00 1
 H 5 0 16 16 184 0 2 10 13 0.00 1
 H 5 0 17 17 162 0 2 9 12 0.00 1
 H 5 0 18 CALIB0 208 -1 -1 11 14 0.00 0
 H 5 0 19 18 183 0 1 10 12 0.00 1
 H 5 0 20 19 231 0 1 12 14 0.00 1
 H 5 0 21 20 205 0 1 11 12 0.00 1
 H 5 0 22 21 206 0 1 11 13 0.00 1
 H 5 0 23 22 229 0 1 12 12 0.00 1
 H 5 0 24 23 253 0 1 13 13 0.00 1
 H 5 0 25 24 230 0 1 12 13 0.00 1
 H 5 0 26 25 254 0 1 13 14 0.00 1
 H 5 0 27 26 278 0 1 14 14 0.00 1
 H 5 0 28 27 323 0 3 16 17 0.00 1
 H 5 0 29 28 301 0 3 15 15 0.00 1
 H 5 0 30 29 255 0 3 13 15 0.00 1
 H 5 0 31 30 279 0 3 14 15 0.00 1
 H 5 0 32 31 302 0 3 15 16 0.00 1
 H 5 0 33 32 303 0 3 15 17 0.00 1
 H 5 0 34 33 280 0 3 14 16 0.00 1
 H 5 0 35 34 322 0 3 16 16 0.00 1
 H 5 0 36 35 342 0 3 17 17 0.00 1
 H 5 1 0 36 283 2 0 14 19 0.00 1
 H 5 1 1 37 306 2 0 15 20 0.00 1
 H 5 1 2 38 345 2 0 17 20 0.00 1
 H 5 1 3 39 258 2 0 13 18 0.00 1
 H 5 1 4 40 282 2 0 14 18 0.00 1
 H 5 1 5 41 304 2 0 15 18 0.00 1
 H 5 1 6 42 326 2 0 16 20 0.00 1
 H 5 1 7 43 325 2 0 16 19 0.00 1
 H 5 1 8 44 305 2 0 15 19 0.00 1
 H 5 1 9 45 347 2 2 17 22 0.00 1
 H 5 1 10 46 327 2 2 16 21 0.00 1
 H 5 1 11 47 346 2 2 17 21 0.00 1
 H 5 1 12 48 366 2 2 18 23 0.00 1
 H 5 1 13 49 384 2 2 19 23 0.00 1
 H 5 1 14 50 365 2 2 18 22 0.00 1
 H 5 1 15 51 364 2 2 18 21 0.00 1
 H 5 1 16 52 383 2 2 19 22 0.00 1
 H 5 1 17 53 401 2 2 20 23 0.00 1
 H 5 1 18 CALIB1 382 -1 -1 19 21 0.00 0
 H 5 1 19 54 381 2 1 19 21 0.00 1
 H 5 1 20 55 431 2 1 22 23 0.00 1
 H 5 1 21 56 417 2 1 21 23 0.00 1
 H 5 1 22 57 400 2 1 20 22 0.00 1
 H 5 1 23 58 416 2 1 21 22 0.00 1
 H 5 1 24 59 430 2 1 22 22 0.00 1
 H 5 1 25 60 399 2 1 20 21 0.00 1
 H 5 1 26 61 415 2 1 21 21 0.00 1
 H 5 1 27 62 444 2 1 23 23 0.00 1
 H 5 1 28 63 363 2 3 18 20 0.00 1
 H 5 1 29 64 324 2 3 16 18 0.00 1
 H 5 1 30 65 344 2 3 17 19 0.00 1
 H 5 1 31 66 380 2 3 19 20 0.00 1
 H 5 1 32 67 398 2 3 20 20 0.00 1
 H 5 1 33 68 343 2 3 17 18 0.00 1
 H 5 1 34 69 379 2 3 19 19 0.00 1
 H 5 1 35 70 362 2 3 18 19 0.00 1
 H 5 1 36 71 361 2 3 18 18 0.00 1
